PriceNoTax,YearNum,Month_ID,BrandR1,SeazonClass,ConstrGroup,ExpositionType,CityType,OperatorR1,OperatorR2,BudgetClass,GRP,Latitude,Longitude,Population,Seller_Cat,Dis
17000.0,3,2,1.0,1,2,0,2,0,1,3,6.10554164301538,55.457919,65.335799,312364.0,224,0.9734491457141037
17000.0,3,4,1.0,1,2,0,2,0,1,2,6.10554164301538,55.457919,65.335799,312364.0,224,1.0062389685370945
21000.0,1,1,3.0,0,1,1,4,0,2,3,8.17,55.159627,61.381623,1196680.0,268,1.13599982073973
27000.0,3,4,1.0,1,2,0,2,0,1,2,3.75,54.56348199999999,36.298974,332039.0,209,1.1319993047008468
25000.0,2,8,1.0,1,2,1,4,2,4,3,2.30315424165328,56.79116,60.572966,1493749.0,115,0.9991602096964498
25000.0,2,8,1.0,1,2,1,4,2,4,1,2.30315424165328,56.79116,60.572966,1493749.0,115,1.0818051703517284
25000.0,2,9,1.0,2,2,1,4,2,4,1,2.30315424165328,56.79116,60.572966,1493749.0,115,0.9991602096964498
25000.0,2,9,1.0,2,2,1,4,2,4,1,2.30315424165328,56.79116,60.572966,1493749.0,115,1.0296194171811581
25000.0,2,10,1.0,2,2,1,4,2,4,1,2.30315424165328,56.79116,60.572966,1493749.0,115,1.0296194171811581
25000.0,2,11,1.0,2,2,1,4,2,4,1,2.30315424165328,56.79116,60.572966,1493749.0,115,1.0296194171811581
22680.0,2,1,0.0,0,2,0,5,2,2,4,1.03615580999114,60.010805,29.726931,5383890.0,227,0.9162907318741551
22680.0,2,7,0.0,1,2,0,5,2,2,4,1.03615580999114,60.010805,29.726931,5383890.0,227,0.9162907318741551
22680.0,2,8,0.0,1,2,0,5,2,2,4,1.03615580999114,60.010805,29.726931,5383890.0,227,0.9162907318741551
22680.0,2,9,0.0,2,2,0,5,2,2,4,1.03615580999114,60.010805,29.726931,5383890.0,227,0.9162907318741551
22680.0,2,10,0.0,2,2,0,5,2,2,4,1.03615580999114,60.010805,29.726931,5383890.0,227,0.9162907318741551
22680.0,2,11,0.0,2,2,0,5,2,2,4,1.03615580999114,60.010805,29.726931,5383890.0,227,0.9162907318741551
22680.0,2,0,0.0,0,2,0,5,2,2,4,1.03615580999114,60.010805,29.726931,5383890.0,227,0.9162907318741551
18144.0,3,0,0.0,0,2,0,5,2,2,2,1.03615580999114,60.010805,29.726931,5383890.0,227,0.9162907318741551
4000.0,3,3,0.0,1,0,0,2,0,1,1,2.64104832443845,50.572162,36.572405,394142.0,235,1.0560526742493137
19000.0,2,6,1.0,0,2,1,4,0,1,2,3.10666666666667,58.002278,56.30360400000001,1055397.0,27,1.0296194171811581
19000.0,2,7,1.0,1,2,1,4,0,1,2,3.10666666666667,58.002278,56.30360400000001,1055397.0,27,1.0296194171811581
22000.0,3,5,1.0,0,2,1,2,0,1,2,5.71859180375597,64.534976,40.567929,346979.0,257,1.0198314108149953
17000.0,3,1,1.0,0,2,0,2,0,1,1,6.10554164301538,55.390315,65.393765,312364.0,224,1.0116009116784799
25000.0,1,9,0.0,2,2,0,4,0,2,2,0.93,56.854498,60.57320600000001,1493749.0,262,0.9932517730102834
12500.0,1,4,1.0,1,0,0,2,0,1,3,2.60604092812657,53.2432,34.3644,402675.0,19,1.0647107369924282
12500.0,1,5,1.0,0,0,0,2,0,1,3,2.60604092812657,53.2432,34.3644,402675.0,19,1.0647107369924282
12500.0,1,11,1.0,2,0,0,2,0,1,3,2.60604092812657,53.2432,34.3644,402675.0,19,1.0647107369924282
12500.0,1,7,1.0,1,0,0,2,0,1,3,2.60604092812657,53.2432,34.3644,402675.0,19,1.0647107369924282
12500.0,1,8,1.0,1,0,0,2,0,1,3,2.60604092812657,53.2432,34.3644,402675.0,19,1.0647107369924282
12500.0,1,9,1.0,2,0,0,2,0,1,3,2.60604092812657,53.2432,34.3644,402675.0,19,1.0647107369924282
12500.0,1,10,1.0,2,0,0,2,0,1,3,2.60604092812657,53.2432,34.3644,402675.0,19,1.0647107369924282
12500.0,2,1,1.0,0,0,0,2,0,1,5,2.60604092812657,53.2432,34.3644,402675.0,19,1.0749751189019554
12500.0,2,8,1.0,1,0,0,2,0,1,5,2.60604092812657,53.2432,34.3644,402675.0,19,1.0749751189019554
9000.0,1,2,0.0,1,0,2,4,0,1,2,2.32,56.011522,92.863189,1093771.0,183,1.0296194171811581
42050.0,1,10,2.0,2,2,0,4,2,4,0,1.3,54.979861,82.896889,1625631.0,115,1.0818011396295641
28000.0,1,2,1.0,1,2,0,4,2,4,3,0.74,56.79204,60.637053,1493749.0,36,1.1002775679871708
33600.0,1,2,1.0,1,2,0,4,2,4,3,0.74,56.79204,60.637053,1493749.0,36,1.1273617019540956
20000.0,1,6,2.0,0,2,0,3,0,1,2,3.03666666666667,46.357101,48.06706,529793.0,275,1.1249295969854831
23000.0,1,4,1.0,1,2,0,1,0,1,2,16.4619155822798,55.75994499999999,38.655673,63568.0,118,1.081524364533002
23000.0,1,5,1.0,0,2,0,1,0,1,3,16.4619155822798,55.75994499999999,38.655673,63568.0,118,1.081524364533002
23000.0,1,6,1.0,0,2,0,1,0,1,3,16.4619155822798,55.75994499999999,38.655673,63568.0,118,1.081524364533002
220000.0,3,4,3.0,1,2,1,5,2,4,4,0.65,55.884195,37.586877,12615279.0,36,1.0681530811834012
30000.0,2,1,0.0,0,2,0,2,0,1,3,5.39812808957631,61.255467,73.415887,380632.0,90,1.0874389880699844
7715.0,1,6,1.0,0,0,0,3,2,4,1,4.2,53.345317,83.780449,632391.0,115,1.1139403126554448
15000.0,2,9,1.0,2,2,0,2,0,0,1,9.84167895043606,42.778389,132.869271,145159.0,275,0.9426080401915286
35000.0,1,0,1.0,0,2,0,2,0,2,5,5.39812808957631,61.24959399999999,73.439155,380632.0,56,0.9826133748052276
35000.0,1,1,1.0,0,2,0,2,0,2,5,5.39812808957631,61.24959399999999,73.439155,380632.0,56,0.9826133748052276
